store_id,brand_id,brand_name,market_id,store_name,street_address,city,state,postal_code,country,region,latitude,longitude,telephone,price_zone,income_band_proxy,ownership_type,format_type,hours_raw,source_url,source_type,drive_thru_flag,delivery_flag,pickup_flag,breakfast_flag
tacobell_los_angeles_ca,tacobell,Taco Bell,los_angeles_ca,Taco Bell Los Angeles Market Hub,Modeled portfolio location cluster,Los Angeles,CA,,US,West,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_dallas_tx,tacobell,Taco Bell,dallas_tx,Taco Bell Dallas-Fort Worth Market Hub,Modeled portfolio location cluster,Dallas-Fort Worth,TX,,US,South,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_chicago_il,tacobell,Taco Bell,chicago_il,Taco Bell Chicago Market Hub,Modeled portfolio location cluster,Chicago,IL,,US,Midwest,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_atlanta_ga,tacobell,Taco Bell,atlanta_ga,Taco Bell Atlanta Market Hub,Modeled portfolio location cluster,Atlanta,GA,,US,South,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_new_york_ny,tacobell,Taco Bell,new_york_ny,Taco Bell New York City Market Hub,Modeled portfolio location cluster,New York City,NY,,US,Northeast,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_miami_fl,tacobell,Taco Bell,miami_fl,Taco Bell Miami Market Hub,Modeled portfolio location cluster,Miami,FL,,US,South,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_phoenix_az,tacobell,Taco Bell,phoenix_az,Taco Bell Phoenix Market Hub,Modeled portfolio location cluster,Phoenix,AZ,,US,West,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_denver_co,tacobell,Taco Bell,denver_co,Taco Bell Denver Market Hub,Modeled portfolio location cluster,Denver,CO,,US,West,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_seattle_wa,tacobell,Taco Bell,seattle_wa,Taco Bell Seattle Market Hub,Modeled portfolio location cluster,Seattle,WA,,US,West,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_nashville_tn,tacobell,Taco Bell,nashville_tn,Taco Bell Nashville Market Hub,Modeled portfolio location cluster,Nashville,TN,,US,South,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_minneapolis_mn,tacobell,Taco Bell,minneapolis_mn,Taco Bell Minneapolis Market Hub,Modeled portfolio location cluster,Minneapolis,MN,,US,Midwest,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
tacobell_charlotte_nc,tacobell,Taco Bell,charlotte_nc,Taco Bell Charlotte Market Hub,Modeled portfolio location cluster,Charlotte,NC,,US,South,,,,modeled,mixed,portfolio_proxy,market_cluster,,,modeled_public_portfolio_foundation,true,true,true,false
