week_start,brand_id,brand_name,system_sales,system_orders,avg_check,contribution_margin,contribution_margin_pct,digital_mix_pct,delivery_mix_pct,market_id,market_name,store_count_proxy,pickup_mix_pct
2025-01-06,tacobell,Taco Bell,11355.07,1041,10.91,6505.55,0.5729,34.56,13.92,atlanta_ga,Atlanta,31,20.64
2025-01-06,tacobell,Taco Bell,8638.12,786,10.99,4948.82,0.5729,33.83,13.56,charlotte_nc,Charlotte,24,20.27
2025-01-06,tacobell,Taco Bell,12874.31,1080,11.92,7356.54,0.5714,35.2,14.29,chicago_il,Chicago,33,20.9
2025-01-06,tacobell,Taco Bell,12747.45,1152,11.07,7309.31,0.5734,34.44,13.77,dallas_tx,Dallas-Fort Worth,34,20.67
2025-01-06,tacobell,Taco Bell,13717.21,1129,12.15,7842.18,0.5717,34.2,13.67,denver_co,Denver,33,20.52
2025-01-06,tacobell,Taco Bell,16189.23,1245,13.0,9287.14,0.5737,34.35,13.91,los_angeles_ca,Los Angeles,33,20.44
2025-01-06,tacobell,Taco Bell,12578.24,1069,11.77,7216.68,0.5737,34.85,14.13,miami_fl,Miami,31,20.71
2025-01-06,tacobell,Taco Bell,11805.98,1039,11.36,6761.48,0.5727,35.06,13.77,minneapolis_mn,Minneapolis,32,21.29
2025-01-06,tacobell,Taco Bell,9580.07,884,10.84,5476.74,0.5717,34.29,13.69,nashville_tn,Nashville,28,20.6
2025-01-06,tacobell,Taco Bell,17543.49,1299,13.51,10057.2,0.5733,34.7,14.1,new_york_ny,New York City,33,20.61
2025-01-06,tacobell,Taco Bell,10291.79,919,11.2,5889.11,0.5722,34.3,13.66,phoenix_az,Phoenix,28,20.64
2025-01-06,tacobell,Taco Bell,14907.66,1170,12.74,8536.26,0.5726,33.65,13.63,seattle_wa,Seattle,32,20.02
2025-01-13,tacobell,Taco Bell,11130.03,1012,11.0,6368.76,0.5722,34.47,14.04,atlanta_ga,Atlanta,31,20.43
